 format: day,hour,forecast,value  location:53_114 Start : 20161001 
 1,0200,+4,18.100000 
 1,0200,+7,20.000000 
 1,0500,+4,18.100000 
 1,0500,+7,20.000000 
 1,0800,+4,18.100000 
 1,0800,+7,19.000000 
 1,1100,+4,18.100000 
 1,1100,+7,19.000000 
 1,1400,+4,18.100000 
 1,1400,+7,19.000000 
 1,1700,+4,18.100000 
 1,1700,+7,19.000000 
 1,2000,+4,19.900000 
 1,2000,+7,17.000000 
 1,2300,+4,19.900000 
 1,2300,+7,17.000000 
 2,0200,+4,19.900000 
 2,0200,+7,17.000000 
 2,0500,+4,19.900000 
 2,0500,+7,17.000000 
 2,0800,+4,19.700001 
 2,0800,+7,17.000000 
 2,1100,+4,19.700001 
 2,1100,+7,17.000000 
 2,1400,+4,19.700001 
 2,1400,+7,17.000000 
 2,1700,+4,19.700001 
 2,1700,+7,17.000000 
 2,2000,+4,17.100000 
 2,2000,+7,16.799999 
 2,2300,+4,17.100000 
 2,2300,+7,16.799999 
 3,0200,+4,17.100000 
 3,0200,+7,17.299999 
 3,0500,+4,17.100000 
 3,0500,+7,16.799999 
 3,0800,+4,17.000000 
 3,0800,+7,17.700001 
 3,1100,+4,17.000000 
 3,1100,+7,17.700001 
 3,1400,+4,17.000000 
 3,1400,+7,17.700001 
 3,1700,+4,17.000000 
 3,1700,+7,17.700001 
 3,2000,+4,17.600000 
 3,2000,+7,14.500000 
 3,2300,+4,17.600000 
 3,2300,+7,14.500000 
 4,0200,+4,17.600000 
 4,0200,+7,14.500000 
 4,0500,+4,17.600000 
 4,0500,+7,14.500000 
 4,0800,+4,17.700001 
 4,0800,+7,14.600000 
 4,1100,+4,17.700001 
 4,1100,+7,14.600000 
 4,1400,+4,18.600000 
 4,1400,+7,14.600000 
 4,1700,+4,18.600000 
 4,1700,+7,14.600000 
 4,2000,+4,14.600000 
 4,2000,+7,15.400000 
 4,2300,+4,14.600000 
 4,2300,+7,15.400000 
 5,0200,+4,14.600000 
 5,0200,+7,15.400000 
 5,0500,+4,14.600000 
 5,0500,+7,15.400000 
 5,0800,+4,14.800000 
 5,0800,+7,15.600000 
 5,1100,+4,14.800000 
 5,1100,+7,15.600000 
 5,1400,+4,14.800000 
 5,1400,+7,15.600000 
 5,1700,+4,14.800000 
 5,1700,+7,15.600000 
 5,2000,+4,15.400000 
 5,2000,+7,15.900000 
 5,2300,+4,15.400000 
 5,2300,+7,15.900000 
 6,0200,+4,15.400000 
 6,0200,+7,15.900000 
 6,0500,+4,15.400000 
 6,0500,+7,15.900000 
 6,0800,+4,15.600000 
 6,0800,+7,15.700000 
 6,1100,+4,14.700000 
 6,1100,+7,15.700000 
 6,1400,+4,14.400000 
 6,1400,+7,15.700000 
 6,1700,+4,14.300000 
 6,1700,+7,15.700000 
 6,2000,+4,16.000000 
 6,2000,+7,9.800000 
